----- Derivative of Residuals w.r.t design variable -----
Node #      R1_B                 R2_B                 R3_B                 R4_B
   98   -4.4791936394e-06   -3.7892753178e-06    1.2506942618e-05   -1.2043371558e-05
   99   -4.1665583012e-06   -5.4041413538e-06    7.2717583156e-06   -1.1473307554e-05
  100   -6.7813543928e-05   -3.8562648207e-05    2.9652223964e-04   -1.8066352956e-04
  101    9.7368464684e-07    7.5515382475e-07    9.3133215502e-06    2.5228902942e-06
  102   -1.2226530495e-05   -7.1072845103e-06    1.6904768319e-05   -3.2712689921e-05
  103   -4.8577049643e-06   -5.1029231425e-06    3.5244714888e-06   -1.3329706823e-05
  104   -5.7773789089e-05   -7.0422634790e-05    1.8643173763e-04   -1.9950021806e-04
  105    8.8302189596e-06    1.9157158211e-04    1.4434187185e-04    8.8288751665e-05
  106   -3.2255146586e-06   -4.3107920418e-06    4.5181252123e-06   -9.2831597721e-06
  107   -1.0723307058e-04    6.0794712152e-05    2.1052904767e-04   -3.5731554708e-04
  108   -1.1756935415e-04   -1.2828673782e-05   -1.1302184955e-04   -2.9649066714e-04
  109   -5.6096359597e-07   -2.9215672950e-06    8.3247452945e-06   -2.3302602707e-06
  110   -6.9060742525e-07   -1.4529300169e-06    2.4784265519e-06   -2.0466221996e-06
  111   -9.9900875210e-07   -1.1125470803e-06    4.7986924473e-07   -2.7991031064e-06
  112   -1.7811575919e-04   -2.1947453941e-04   -2.8915016619e-04   -5.3245544627e-04
  113   -6.8415798217e-09   -1.8808462542e-07    3.6220022462e-07   -5.9958329021e-08
  114   -3.4092410453e-07   -4.7016645218e-07    3.0070155688e-07   -9.8401080074e-07
  115    2.9635085267e-07   -3.9931884249e-07    1.1142787590e-06    7.3059243145e-07
  116   -2.8954599567e-06   -5.5503654514e-06    2.0166877758e-05   -1.0611808537e-05
  117    5.8412517569e-06    5.3649943180e-06    6.3105758442e-07    1.6582746549e-05
  118    1.4404742871e-06    1.5816347597e-06   -5.5271003210e-08    4.2662942271e-06
  119    4.7271602022e-06    5.8402520370e-06    7.4177812863e-06    1.4508176540e-05
  120    1.4400148432e-06    1.4234798098e-06   -7.0062810880e-07    4.1074425896e-06
  121    6.7779993556e-06    6.9310490460e-06   -3.6213460108e-06    1.9356466006e-05
  122    3.4790639958e-06    3.6062142869e-06    1.2468816792e-05    1.0206475251e-05
  123   -8.2166652932e-06   -4.2359206964e-06   -4.6554099969e-07   -2.1787013059e-05
  124   -3.5794716530e-06   -1.7539167344e-05    1.8335529423e-05   -1.8283764973e-05
  125    1.2552000467e-03    1.8707881568e-03    3.2938226599e-03    4.0069605539e-03
  126   -1.4298047986e-03   -2.4380981163e-03   -1.7357594430e-03   -4.2423851982e-03
  127    1.0558873140e-03    2.3633866488e-03    2.0854852826e-03    3.3140372080e-03
  128    1.8770264304e-05    2.5787902811e-05    1.2371197558e-05    5.2872579947e-05
  129    1.1122810291e-03    2.1424389279e-03    8.9314170630e-04    3.4004803277e-03
  130   -1.3960164691e-04   -6.4081378911e-05   -6.8003017293e-04   -4.0750847475e-04
  131   -1.6911981280e-07    1.1380976821e-06   -3.8806634427e-05    3.9968518813e-06
  132    4.1833093197e-05    1.4980043463e-04    5.8812237519e-05    1.4821733212e-04
  133    1.6369121552e-04    2.2848545363e-04   -3.9627346402e-04    4.9159663165e-04
  134    1.3684452090e-05    1.5853840553e-05    2.2510218179e-06    3.6211969286e-05
  135    5.0842292592e-05   -1.3359086319e-05   -1.5798985411e-04    1.0732214797e-04
  136    7.4441997387e-07    2.1186783675e-07   -5.4615069117e-06    2.2940262248e-06
  137    3.7610977730e-05    5.6967614684e-05    1.0038431337e-05    1.0052624411e-04
  138    8.4293152435e-07    7.9889277323e-08   -6.0913011998e-06    2.4623019399e-06
  139   -4.9233658124e-05    7.5704940343e-05    4.6932308386e-06   -1.4364392228e-04
  140   -1.2137882342e-03   -2.0528407417e-03   -2.7826660415e-04   -3.4445700985e-03
  141    1.2082155191e-06    8.7154208016e-07    1.3468274050e-05    3.3437866233e-06
  142    1.5968484237e-05    6.4880051678e-06   -4.2884274142e-05    4.2511576335e-05
  143    1.8509555835e-06   -2.7698372128e-07    7.6364050637e-06    4.3483383435e-06
  144   -5.6328198159e-07   -3.2944404486e-06    6.3694551627e-06   -3.0531890715e-06
  145   -1.2374440920e-03   -1.4254365494e-03   -2.1171928879e-03   -3.5112633026e-03
  146   -3.3365936951e-06   -9.1327573598e-07    2.7666397176e-06   -8.4245515388e-06
  147   -6.4415806912e-05   -8.6183918880e-05    9.2771152145e-05   -1.9840423845e-04
  148   -6.3753247769e-06   -1.7210629271e-06    6.1604161681e-06   -1.6054322368e-05
  149   -6.6370415047e-06    4.6049078104e-07    6.9080817762e-05   -1.5145182732e-05
  150    3.5418532205e-06    3.3298563488e-06   -2.5529768281e-07    9.8330998915e-06
  151    6.2067280174e-06    5.2359560880e-06   -6.4637580347e-07    1.7219671663e-05
  152   -4.3256626768e-06   -4.0969525849e-06   -6.6227701018e-08   -1.2382193009e-05
  153    4.8434166586e-06   -4.2811772087e-07    8.0935440853e-05    8.8533110498e-06
  154    1.3618308604e-05    1.1041581789e-05   -6.1520656084e-06    3.8272572465e-05
  155   -2.8097010803e-05   -2.6581513748e-05    3.6359822451e-05   -8.1212711397e-05
  156    9.0862691757e-06    9.4779452070e-06   -2.1949148371e-06    2.6612360095e-05
  157    3.8504527846e-07    3.6408772667e-07    1.3121916842e-08    1.1096780560e-06
  158   -1.9359959999e-05   -2.5601742903e-05    1.8222561186e-05   -5.9979952389e-05
  159   -1.3786901288e-06   -7.1566707853e-07    9.5362101836e-07   -3.4062193785e-06
  160    3.6504140064e-05    4.9557890522e-05    7.4151496763e-06    9.7419502761e-05
  161    1.3291941939e-05    8.2607912015e-06    7.1385218737e-05    3.8092981200e-05
  162   -4.8256051827e-06   -5.4393896253e-06    8.5012423395e-06   -1.3553394791e-05
  163   -8.4159874569e-07    1.9306080501e-06   -2.1936690905e-06   -1.9885752542e-06
  164   -1.7998643392e-06   -1.3739269566e-06    8.5458076861e-07   -4.4337691209e-06
  165   -4.9726080214e-06   -7.0607866117e-06    2.6260552362e-06   -1.3824853259e-05
  166   -3.6360056111e-06    1.1109064472e-06    5.4581680408e-06   -7.4670424863e-06
