----- Derivative of Residuals w.r.t design variable -----
Node #      R1_B                 R2_B                 R3_B                 R4_B
  309   -1.7406375284e-07   -1.9571494470e-07   -2.6505890405e-08   -5.1339869107e-07
  310   -5.2461964924e-06   -5.9034052571e-06    6.6784159682e-06   -1.4580459058e-05
  311   -1.2906311655e-05   -1.4019538665e-05    8.7126160624e-06   -3.5471413111e-05
  312    2.0294676049e-04    1.9971503483e-04   -3.3249211631e-04    5.3819050824e-04
  313   -7.7802653673e-07   -1.8703431484e-06    4.0009245585e-06   -3.1675282004e-06
  314    5.3116420802e-06   -2.4943451983e-07   -9.8593952026e-05    1.7415436598e-05
  315    3.7277537642e-06    2.4957396307e-06   -8.9354799600e-06    1.0390938310e-05
  316    4.3805503033e-08    2.6908886605e-08    7.6528513167e-08    1.1824855325e-07
  317   -1.9484662332e-08   -3.2218270064e-08    2.7977640289e-08   -5.7412063851e-08
  318   -3.7867287502e-07   -4.7503150425e-07    6.7501244595e-08   -1.1127993483e-06
  319    1.1404124674e-06    8.9107763560e-07   -4.4954742940e-06    3.7618098133e-06
  320    8.0452535780e-07    1.1962029034e-06    1.9870184453e-05    2.9097231121e-06
  321    4.2815912973e-07    4.7704164108e-07   -2.5684887565e-07    1.2617991047e-06
  322    2.3264491718e-06    2.2599164410e-06   -4.1561492732e-07    6.4990365916e-06
  323   -1.3555980195e-03   -1.9072368052e-03   -1.7360805202e-03   -4.0609684432e-03
  324    5.4748266507e-04    8.5072907869e-04   -7.1408951407e-04    1.6553929161e-03
  325    4.3972630278e-04    5.9753910636e-04   -5.3756642444e-04    1.0577605502e-03
  326    4.6661105217e-05    4.3856751782e-05   -8.5529567901e-05    1.3334457920e-04
  327    1.8800761981e-05    8.4432464061e-06   -3.0140722416e-05    4.7521497020e-05
  328    1.0685124001e-04    1.6106442097e-04    2.3056851595e-04    3.0892025169e-04
  329   -1.4036028307e-04    3.3261065082e-05   -5.7956444564e-05   -3.4391538580e-04
  330   -1.4156316216e-03   -1.7007506306e-03   -1.6127851395e-03   -4.1561708884e-03
  331   -2.6606448569e-04   -3.6180727863e-04   -3.9370834894e-04   -8.4961335501e-04
  332   -4.5630211647e-08   -4.7424160518e-08    2.4029178991e-08   -1.3013514961e-07
  333   -6.5255975488e-06   -7.4812891068e-06    3.6512155579e-06   -1.8451413415e-05
  334   -4.8526603393e-05   -6.2977045359e-05    4.9461733762e-05   -1.4980746904e-04
  335   -1.1690178508e-05   -7.0649867445e-06    3.1363902149e-05   -3.1598457405e-05
  336   -2.8015236727e-06   -2.3148206332e-07    2.2801075618e-06   -6.6567156342e-06
  337   -3.5062194120e-07   -2.9962718433e-07   -7.4509440392e-08   -9.8692988600e-07
  338   -6.7700017533e-08   -5.0385521770e-08   -6.9432610941e-09   -1.8527977389e-07
  339   -9.6515185219e-05   -6.6338141296e-06    3.9193356042e-04   -2.6948265532e-04
  340    8.7642058790e-07    5.8099707155e-07    5.7974834650e-07    2.3836217179e-06
  341    1.0810620865e-05    5.0831233794e-06   -4.6006592487e-06    2.8624191094e-05
  342   -2.8631258531e-05    8.8459633052e-05    2.1596328782e-04   -6.3905468547e-05
  343   -1.6309633635e-05   -1.3733134669e-05   -2.5682691390e-05   -4.6281887187e-05
  344    4.9791916011e-07   -7.8351126410e-07   -2.7469313243e-06    9.7360229768e-07
  345   -2.7384941597e-06   -1.5252132933e-06    2.0603612579e-05   -7.0978364507e-06
  346   -1.0430089751e-05   -3.4787720896e-06    1.0903935936e-05   -2.6536187791e-05
  347    1.7181867422e-05    1.2684138820e-05   -9.1598414831e-06    4.7863566104e-05
  348   -1.6322931560e-05   -1.1314193488e-05    2.9813297892e-05   -4.4748413582e-05
  349   -1.0916576039e-06   -2.5427255960e-06    9.4117335543e-06   -3.5804298525e-06
  350   -1.4160581963e-05   -1.7233996511e-05    5.0594996014e-06   -3.8798017115e-05
  351    4.9681457949e-05   -1.9567312555e-05    4.1062031860e-04    1.3410295481e-04
  352   -3.0266309800e-07   -2.0780930405e-07   -6.4034835276e-08   -8.3065146934e-07
  353   -2.2152238026e-05   -2.8279438289e-05    1.0927873964e-06   -6.7589567891e-05
  354   -4.4285266801e-06   -6.2666103293e-06    1.3928953689e-07   -1.1820861920e-05
  355    2.1895954485e-05    2.3249100111e-05   -1.3673562457e-04    6.9982694627e-05
  356    1.8266155262e-06    9.7731411227e-07    5.1328065729e-06    4.5929056286e-06
  357    1.4912233326e-05    3.4833625543e-06   -1.0435381388e-05    4.0238607247e-05
  358   -3.2529957952e-04   -3.1014163952e-04   -7.9635211512e-04   -9.6501318544e-04
  359   -3.1103727430e-07    4.5392979093e-05   -5.6428422973e-05    5.4215921271e-06
  360    4.4367407213e-04    8.5021493149e-04    1.8834902883e-03    1.4268565870e-03
  361    7.1130024048e-06    1.1412528113e-05    2.3670759041e-06    2.1035399937e-05
  362    2.6275127539e-05    2.7253407325e-08   -6.0555601175e-06    7.1587277477e-05
  363    3.1733985410e-06    3.2186077643e-06    4.9961725304e-05    8.0730787902e-06
  364    2.1925117632e-04    1.5142380638e-04    3.5165560998e-04    6.4953523379e-04
  365    7.9392720557e-05    5.1027269720e-05   -1.0201646751e-05    2.2386502528e-04
  366    6.0293435077e-05    1.8206221199e-05    5.6234620833e-05    1.5850428923e-04
  367   -1.4069282867e-04   -1.3588761558e-04   -3.7105785571e-05   -4.1751004626e-04
  368   -3.0424336338e-09   -9.8383908704e-09    1.5556867098e-08   -1.0609083786e-08
  369    2.2013303591e-04    1.6324567444e-04    2.7079182062e-04    6.5084111119e-04
  370    4.0446985632e-06    4.0643275621e-06    2.5368880592e-08    1.1254958883e-05
  371   -1.1616465336e-04   -8.7112265969e-05   -6.6419376897e-05   -3.3422225874e-04
  372   -3.1498235564e-05   -3.8763750827e-05   -2.6106749200e-05   -9.6739920416e-05
  373    1.4355670988e-05    5.1209347333e-06    1.0544467839e-05    4.2856355897e-05
  374   -5.8391544780e-07    3.2564474336e-06    5.8873757439e-06   -2.7303607023e-06
  375   -1.4100075155e-06   -1.3279403896e-06    8.4239166751e-07   -4.0018615328e-06
  376    1.9408521044e-05    3.6813563134e-05    4.5876445636e-06    5.7729466465e-05
  377   -3.2858159079e-05   -3.0991285097e-05    1.4780863933e-05   -9.5202550076e-05
  378   -7.9448392231e-06   -8.4037212042e-06    6.9640466597e-06   -2.1942796476e-05
  379    1.3531692822e-06    5.2471854769e-07    3.9964452115e-06    2.8284737444e-06
  380   -8.5903380833e-08   -1.8720230746e-07    2.0883326653e-07   -2.7154444224e-07
  381   -7.7343534492e-07   -1.4905481716e-06    1.9916848157e-06   -2.3896076624e-06
  382    2.1397258222e-06    6.6162047223e-07   -2.9562084090e-06    5.6077851666e-06
  383    1.5938060214e-06    1.7232136437e-06   -5.6437667420e-07    4.5630186788e-06
  384    1.0277232228e-03    1.7822716891e-03   -1.0363377493e-03    3.2050390274e-03
  385    6.1822406723e-05    6.8532996372e-05   -8.3035746437e-05    1.7721236003e-04
  386    4.0362670320e-05    5.8776400526e-05    8.7532174671e-05    1.1503796832e-04
  387   -7.9168578205e-06    3.3708331685e-05    2.5341905611e-04   -5.9251637421e-06
  388   -1.7989319967e-04   -1.1089294048e-04    1.4470823536e-05   -5.1233412091e-04
  389   -2.2637202808e-04   -2.2827261805e-04   -2.8628166628e-04   -6.2303744790e-04
  390   -4.5963970270e-06   -3.8939771781e-06    4.2862722304e-06   -1.1476670803e-05
  391   -1.8597218665e-07   -1.4601917223e-07   -2.6192060519e-08   -5.1514387721e-07
  392   -3.4515710654e-07   -2.6457720096e-07    3.8905757319e-08   -9.2391540672e-07
  393   -8.4172119638e-05   -3.8875825786e-05    5.0190919159e-04   -2.2698107940e-04
  394    1.2345236766e-05    7.3022328687e-06   -4.6710065865e-06    3.2241698438e-05
  395   -3.3103573237e-06   -3.8961226362e-06   -1.6485877192e-05   -9.4990576839e-06
  396   -3.8325085675e-06   -2.2104353400e-06    1.5190669979e-05   -1.0132073140e-05
  397   -3.3148346688e-06   -1.8083697718e-06    1.4871769995e-05   -8.7514522100e-06
  398    1.4603621418e-05    1.4406478209e-05   -5.3179081544e-06    4.1521654874e-05
  399    2.1558399697e-05    2.0227030517e-05   -2.6303794288e-07    6.1408376339e-05
  400   -6.4087019375e-05   -9.3976357994e-05    2.2188030087e-04   -1.9467952439e-04
  401   -1.4368684494e-05   -1.4572947914e-05    2.0086257260e-06   -4.0983590829e-05
  402   -1.2378064054e-06   -2.2063587130e-06    1.1785221678e-06   -3.6441126872e-06
  403    3.2706086709e-06    6.5136085283e-06   -7.1576816682e-07    8.5132348793e-06
  404    1.0193110693e-05    1.2082215409e-05   -4.0049354151e-05    3.2728072576e-05
  405    3.8744369139e-07   -1.5965213604e-06    1.4103739598e-05   -3.4635491158e-08
  406    4.3601125741e-05    4.1297173875e-05   -3.0731413778e-05    1.2913107407e-04
  407    9.7249372079e-06    1.4315015520e-05    8.3059802802e-06    2.8780149249e-05
  408    5.8042073684e-05    1.7597507357e-05    7.6121905002e-05    1.5192703786e-04
  409   -3.3150805044e-05   -3.3002432833e-05   -2.1800122485e-05   -9.8588986662e-05
  410    1.4628326455e-05    2.6490156913e-05    9.3169411612e-07    4.4574653484e-05
  411    1.1491819259e-06    1.6053182689e-06    1.4676040690e-06    2.6189251275e-06
  412   -4.7727477973e-05   -5.5998665928e-05    9.7448700532e-05   -1.4420177825e-04
  413   -5.3930947459e-06   -6.6612126220e-06    1.7256121760e-06   -1.5450990076e-05
  414   -1.6678226820e-06   -2.9572498536e-06    6.1450755974e-06   -4.9359761113e-06
  415   -2.7586033319e-06   -3.4188264371e-06    7.2540336351e-06   -7.7907533137e-06
  416    5.0003756529e-05    6.5065122502e-05    7.7331882080e-05    1.4805603069e-04
  417   -1.0976200279e-05   -1.2550712824e-05    1.0156167183e-05   -3.0508533334e-05
  418   -7.7428884635e-06   -1.0823803221e-05    4.5653318044e-06   -2.1943289983e-05
  419   -6.8561281529e-05   -6.2309648358e-05    1.1737167545e-04   -1.9276845733e-04
  420   -6.1298537196e-06   -2.0253234514e-06    1.4219716920e-05   -1.5439244211e-05
  421   -7.4837831769e-06   -3.8656825267e-06    2.0008751049e-05   -1.9773589605e-05
  422    2.4805949311e-05    2.7935482504e-05    6.0370049223e-07    7.3934989404e-05
  423    3.5042995653e-05    3.3543114559e-05    1.5210314082e-05    1.0119001143e-04
  424   -4.1346248286e-06   -3.7947305877e-06   -2.0284273770e-07   -1.1125662127e-05
  425    6.5502825535e-07    9.3250691156e-07   -2.2412609028e-06    1.6983707041e-06
  426   -2.7223242830e-06   -3.3797236994e-06    4.3389955434e-06   -8.1106977838e-06
  427    3.9643475017e-05    2.1190875582e-05    5.8392791655e-05    1.0714239917e-04
  428    5.0158978996e-06    7.3150791289e-06    1.7781818520e-06    1.4743215622e-05
  429    2.2293878871e-05    3.7073054255e-05    9.5798848265e-06    6.7956442643e-05
  430   -1.0754923215e-06   -1.7246006151e-06    6.0569475122e-06   -3.2374357455e-06
  431    5.8213219681e-06    8.7074841995e-06    4.7232914805e-06    1.7167917772e-05
  432   -1.0496476780e-05   -1.0078792883e-05    8.0845595339e-06   -2.8543047222e-05
  433   -8.9353347596e-06   -3.4845279351e-06    1.8766933411e-05   -2.2808958741e-05
  434    2.1440946266e-05    2.1348005206e-05    2.7152021012e-05    6.1621711945e-05
  435   -7.7903451939e-06   -4.8563083782e-06    6.5578624557e-06   -1.9631142892e-05
  436    1.6531093875e-05    2.4614047426e-06    3.8902045772e-05    4.1438977743e-05
  437    1.5690021500e-05    2.0968645610e-05    9.0640142682e-06    4.2852009186e-05
  438   -1.2207641601e-06   -1.0574892402e-06    1.5707174768e-05   -2.9081801935e-06
  439    7.2328984499e-06    8.6980561576e-06    7.5467349542e-06    2.0446751843e-05
  440    7.0105043115e-06    9.9917280615e-06    1.0138863469e-05    2.1037107570e-05
  441   -1.3524982842e-05   -8.9361890856e-06    2.2810490023e-05   -3.4578808195e-05
  442   -5.0271110430e-06   -2.7555510307e-06    9.4368945890e-06   -1.3290095995e-05
  443   -1.7259146273e-05   -2.0854056902e-05    1.1805689296e-05   -4.9990257822e-05
  444    1.3601553279e-06    3.2111586578e-06    1.7100086147e-05    5.4281487984e-06
  445   -1.6587448499e-06   -2.2472530231e-06    4.7737469159e-05   -4.9885324127e-06
  446   -6.5361989167e-06   -7.2937820907e-06    1.4836883737e-05   -1.8193475844e-05
  447    2.4665925873e-05    3.3250905809e-05    6.0331172541e-06    6.9808633334e-05
  448    1.0527827467e-05    1.3422813645e-05    2.5598791432e-05    3.1678822236e-05
  449   -9.9346244185e-06   -9.4098639327e-06    1.4007086469e-05   -2.6676878395e-05
  450    1.1744941035e-05    1.1184735857e-05    5.0272225308e-05    3.6017912176e-05
  451    3.0086874499e-06   -2.0909005890e-06    3.2063549629e-05    6.2687012632e-06
  452   -5.1759486276e-06    2.2602462701e-06    6.0002902046e-05   -1.1257189819e-05
  453    4.5858053690e-06    5.2167845465e-06    2.0996321598e-05    1.4073093032e-05
  454    6.2009081372e-06    7.1256611933e-06    1.2808606583e-05    1.8001006970e-05
  455    3.4400963450e-05    1.9168396984e-05    1.0414645564e-04    9.6963004477e-05
  456   -2.1282402249e-06    8.7887940114e-07    1.8539966450e-05   -4.1350011111e-06
  457   -1.3698550028e-05   -9.2947714858e-06    8.3975019614e-05   -3.8710166335e-05
  458   -4.9965925303e-06   -1.2907526466e-07    4.4630140374e-05   -1.2099987650e-05
  459    8.5606148373e-07    8.3506406398e-07    3.1790037008e-06    2.2890979424e-06
  460   -1.0398913776e-07   -5.1803837726e-06    4.0178725651e-05   -2.6029098333e-06
  461    6.6705713139e-06   -5.9880821965e-06    9.3064003258e-05    1.4674354317e-05
  462   -4.4496483884e-06    1.1662581239e-05    3.2221541131e-05   -1.8050709966e-06
  463   -5.3684515303e-06   -5.7735638570e-06    3.5334650529e-06   -1.3698754323e-05
  464   -1.1986027357e-05   -1.3390935938e-05    3.7681666417e-06   -3.2132254710e-05
  465    5.3281172316e-06   -7.0465464737e-06    3.5237569464e-06    1.4307681766e-05
  466   -2.8680204689e-05   -3.5899005557e-05    1.1080261431e-05   -8.7153168002e-05
  467   -1.2623443496e-05   -1.1963374685e-05    8.2381817374e-06   -3.5502111565e-05
  468   -2.5866712667e-06   -2.0140626447e-06    1.8836875316e-06   -7.0439747617e-06
  469    3.9734701067e-05   -1.3839634219e-06    7.4572363007e-05    9.6992439781e-05
  470    2.8382048446e-05    2.3126753298e-05   -1.3664849944e-05    7.9305242946e-05
  471    1.4948123913e-05    1.6013409469e-05    5.1094883127e-06    4.4013703627e-05
  472    3.7828343838e-05    5.5235690042e-05    1.7595310806e-05    1.0620158685e-04
  473    2.1905779257e-07   -4.3179118826e-07    1.6725321540e-05    6.8647790507e-07
  474   -7.0754824338e-06   -8.6098728265e-06    4.3734183967e-06   -1.9452278344e-05
  475    1.7154932445e-06    2.1738178103e-06    2.1201121157e-06    4.3876264020e-06
  476   -6.3648846965e-06   -3.5879613349e-06    1.8753398918e-05   -1.7023199523e-05
  477    3.7107418218e-06    2.7140942207e-06    2.0687986438e-05    9.8945058490e-06
  478   -5.2337329415e-06    2.0219494272e-05    3.2973930227e-05    3.8519423683e-06
  479    7.9190916054e-06    1.3897226741e-05   -2.7034207513e-06    2.1579043155e-05
  480   -6.4913629567e-06    2.1490393838e-06    3.9876356332e-05   -1.4068640933e-05
  481   -3.8470347473e-06   -2.4979752060e-06    3.8529649756e-06   -9.9947728569e-06
  482   -4.5614364836e-06   -2.0889974737e-06    1.0566753826e-05   -1.1872545458e-05
  483   -4.0588804317e-06   -2.1174974923e-06    4.3665218779e-06   -1.0781101802e-05
  484   -2.7535828448e-06   -2.0329093306e-06    1.8429465505e-06   -7.1362234847e-06
  485   -4.8655793726e-06   -6.4552647308e-06    1.5376122166e-05   -1.4269572540e-05
  486    1.3441678563e-05    2.3100406469e-05    3.5288156343e-05    4.3506951074e-05
  487   -8.4541118929e-07    6.0079628827e-07    1.1607119975e-05   -1.4656372458e-06
  488   -1.1632913935e-05   -1.3942671311e-05    1.6166702932e-06   -3.0755461005e-05
  489   -8.4668001911e-06   -9.7722119463e-06    2.8337380268e-06   -2.2200082254e-05
  490   -7.0597121968e-06   -6.5767354328e-06    5.1047088564e-06   -2.1783686081e-05
  491    1.3847034031e-05   -3.7079822289e-06   -1.0662708967e-05    3.9437083778e-05
  492    1.5825798634e-05    3.2457900620e-06   -1.4697738608e-05    4.6638673734e-05
  493    2.4783051947e-05    1.0514395704e-05    5.8656220134e-05    6.7679794590e-05
  494    1.0829466705e-05    1.9155304902e-05    3.0554262429e-05    3.4976662268e-05
  495    1.0494319057e-05    6.2238261561e-06    2.2756522400e-05    2.7041678514e-05
  496    1.3867442695e-05    1.7371773930e-05   -3.1340750032e-07    3.8100190100e-05
  497   -5.6730307794e-06   -6.6333879357e-06    1.4921449312e-05   -1.7087898546e-05
  498   -1.6754773100e-06   -1.7891596411e-06    1.3804806220e-05   -4.6973230290e-06
  499   -6.1603544829e-06   -7.2664742733e-06    5.1191018569e-06   -1.7221785571e-05
  500    6.0191580423e-06    9.3333699806e-06    2.6727719084e-06    1.5972686465e-05
  501    2.6545186108e-06    3.5310614124e-07    5.9550994049e-06    5.7899977699e-06
  502    3.3437932565e-05    6.3223331145e-05    6.5309701213e-05    1.2154229106e-04
  503    2.6357491117e-06    6.6155179436e-06   -5.0463780451e-06    8.2974707336e-06
  504   -3.0938345953e-06   -2.3669203682e-06    4.7869950812e-06   -8.6276750765e-06
  505    5.2091059707e-06    1.8585899230e-05    1.2807968257e-04    2.2280111312e-05
  506    2.2148941244e-06   -2.8053265627e-06    1.8846483099e-05    3.8045853319e-06
  507   -5.2665925552e-06   -6.2247113348e-06    8.5456039988e-07   -1.3751732415e-05
  508   -7.2750757455e-06   -8.4922369530e-06    1.3402771110e-06   -1.9394454649e-05
  509   -1.8347914415e-06   -1.9815080858e-06    1.4491443076e-06   -1.0015639070e-05
  510    8.8084448436e-06    4.2789050736e-06   -5.9746204641e-06    2.5469042873e-05
  511    4.9385280732e-05    2.8659611627e-06    1.1978345513e-04    1.2477522283e-04
  512    2.2744755567e-05    1.7116097542e-05    4.2712256992e-05    6.1947226668e-05
  513    5.4816849806e-06    5.2070552715e-06    1.5622336873e-06    1.3143036043e-05
  514   -1.0971575538e-05   -7.4004144599e-06    2.2158862152e-05   -2.9431746586e-05
  515    3.0481281317e-06   -5.1981385326e-07    9.5245013995e-07    6.3668601365e-06
  516   -1.3118962022e-07    7.8555975277e-07    1.0154208548e-05    2.5964140874e-07
  517    2.2552660263e-05    3.9988694199e-05   -3.7641338092e-06    6.4028861086e-05
  518   -4.0792893549e-06   -1.9047351987e-06    6.7190053890e-06   -1.0714024608e-05
  519   -2.5002438026e-06   -3.9636934210e-06    1.3122572310e-06   -6.9405602334e-06
  520   -4.1003813521e-06   -4.6132733180e-06    1.2826558789e-06   -1.0223443086e-05
  521   -4.3848353298e-06   -4.2082819883e-06    1.1202431063e-06   -1.2769507997e-05
  522    6.0781980981e-06    2.0407230349e-06   -6.5705951176e-06    1.7596166177e-05
  523    9.2062480137e-06    2.1545516877e-05    6.9207810371e-05    3.2083507444e-05
  524    5.1724822486e-06    3.4283001135e-06    1.5729235629e-05    1.3452340124e-05
  525    6.6470416003e-06    6.8164623373e-06    3.9047034598e-06    1.9308483542e-05
  526   -5.0772751493e-06   -2.9942782542e-06    9.4715152977e-06   -1.3655933495e-05
  527   -2.0756966572e-06   -3.0471285003e-06    2.4478041555e-07   -5.6549282583e-06
  528   -3.3740725473e-06   -5.0540775405e-06   -1.5762019057e-08   -9.2226937924e-06
  529   -2.6711835628e-06   -2.2073259062e-06   -2.9325998814e-07   -7.3506257745e-06
  530    8.1775638356e-06    4.0705706567e-06   -5.4970140916e-06    2.3293868502e-05
  531   -4.4217383730e-06   -3.5202694093e-06    5.8639689380e-06   -1.2448934736e-05
  532   -1.2211652684e-06   -1.6799968018e-06    9.7741768109e-07   -3.1517406605e-06
  533   -2.7269992700e-06   -4.3362630099e-06   -3.0779893609e-09   -7.9496587613e-06
  534   -1.1800581439e-06   -1.8100784810e-06   -1.1915413872e-07   -4.2950734578e-06
  535   -6.7979430414e-06   -5.3377042972e-06    6.3976649995e-06   -1.8991695926e-05
  536   -1.4860491979e-06   -1.6817355233e-06    6.0903757016e-08   -4.1150807670e-06
  537   -3.3381234748e-06   -1.5733009230e-06    4.8704662461e-06   -8.7147216587e-06
  538   -4.2098495475e-06   -2.9326991904e-06    1.5591856568e-05   -1.1672016139e-05
  539   -2.9373467058e-06   -2.2548274246e-06    1.7114518485e-06   -7.6057640979e-06
  540   -5.4499155380e-06   -5.2915399679e-06    3.2459805390e-06   -1.5005771169e-05
  541   -2.5712410965e-06   -3.1661459648e-06    9.2005909350e-07   -7.3473262191e-06
  542    1.8188999533e-05    7.0610595157e-06    2.6288440004e-05    4.7978644267e-05
  543   -1.2121227457e-05    8.0016652157e-06    3.7738667473e-05   -2.2182110168e-05
  544   -3.2575337764e-06   -9.8137015641e-06    1.8937510177e-05   -1.4275032382e-05
  545   -4.9780944520e-06    1.9788514160e-06    2.3897966321e-05   -1.0328348638e-05
  546   -3.5511017681e-06   -1.0739085631e-07    1.4578735086e-06   -8.4625870563e-06
  547   -2.4223710358e-06   -2.9025118448e-06    1.9917766249e-06   -6.7764956617e-06
  548   -4.2177609106e-06   -1.2191087640e-07    7.5778991299e-06   -9.6590707958e-06
  549   -1.3925501893e-06   -1.1170985273e-07    3.1903622331e-06   -3.2501251707e-06
  550    7.0639186603e-06    9.0868015609e-06    2.2736928636e-05    2.2736486367e-05
  551    2.6162319207e-06    2.6278563352e-06    3.0762343597e-07    5.6790749028e-06
  552   -7.1856151715e-06   -7.2990004236e-06    2.2165721992e-05   -2.1242037952e-05
  553   -1.3376424311e-05   -6.2814789565e-06    4.9461786114e-05   -3.3389371692e-05
  554   -1.7777627670e-06   -1.6440303690e-06    6.5411871893e-08   -4.3725636758e-06
  555   -6.3513382686e-07   -5.2531989314e-07    5.4429474221e-06   -1.6664935125e-06
  556   -2.5693268960e-06   -1.4098446962e-06    2.0980511523e-06   -6.8343764503e-06
  557    4.3325745286e-07    4.8544662752e-06    1.0080055958e-05    4.1474845600e-06
  558    6.4516971747e-06   -6.5046649765e-07    2.6607017155e-05    1.5433448171e-05
  559   -9.9908065408e-06    5.6781242160e-06    8.7379537314e-06   -1.9153119044e-05
  560   -4.4739934298e-06   -6.5677551446e-06    6.0271724257e-07   -1.2827623001e-05
  561   -9.5231005846e-06   -4.8969018573e-06    6.5112357762e-06   -2.5240350029e-05
  562    2.7712665244e-06   -1.7108869332e-06    1.8059266272e-05    5.8584280296e-06
  563   -6.8743848425e-06   -2.7997342568e-06   -1.0494325332e-06   -1.7938999121e-05
  564   -6.6111577162e-06   -4.3351152205e-06    1.3531930959e-06   -1.8113305474e-05
  565   -3.7692409204e-06   -2.3022572103e-06    4.4818644835e-06   -1.0107313436e-05
  566   -5.3397048295e-06   -4.5430785325e-06    3.4214715084e-06   -1.5230893772e-05
  567   -1.7354951878e-05   -1.8487787458e-05    7.9046349005e-06   -5.1780510478e-05
  568   -7.8759801008e-06   -8.7300670762e-06    5.4224599606e-06   -2.3617498689e-05
  569   -9.7747373887e-06   -5.7098288626e-06    4.2396759258e-06   -2.6226369872e-05
  570   -1.8711746387e-05   -1.6291099701e-05    2.1654964029e-05   -5.2774545376e-05
  571   -1.0915940327e-05   -1.0805327861e-05   -6.2128902741e-06   -3.2222621417e-05
  572   -8.5318277211e-06   -1.0607057040e-05   -5.7366692889e-06   -2.6420511354e-05
  573   -2.7382948988e-05   -3.2171870440e-05    4.6739754553e-05   -8.2235454219e-05
  574   -7.0339874843e-06   -4.4425705537e-06   -6.3632187232e-06   -1.9351630298e-05
